"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
9.14666838073125,-0.0719347133387646,NA,0.0755865196247101,0.0368069428411744,NA,-23.7003250084642,NA,NA,"+",-0.000186010386404816,0.0964420038238098,NA,8,-177.329305993726,371.052054610403,2.96705755420101,0.00637535470056823
10.597573190849,-0.0743894452327087,NA,0.0653204446598536,-0.00512898900320794,NA,-24.8044721376965,NA,9.5532426071003e-05,"+",NA,0.100395439945639,NA,8,-177.340376824218,371.074196271387,2.98919921518507,0.00630516348378723
7.17480034460373,-0.0373491272337704,NA,NA,-0.00909725344494077,NA,1.60722615572475,-0.242558858830027,NA,"+",NA,NA,NA,6,-179.42907555972,371.086411989006,3.00141493280398,0.00626676980639732
12.5238839529262,-0.0844469161847369,NA,0.0788025705923073,NA,NA,-34.8160178725732,0.0763289231021833,NA,"+",NA,0.136238118535649,NA,7,-178.394156269532,371.093489650781,3.00849259457897,0.0062446319619887
7.67240080047049,-0.0384680419121323,-0.244148358134209,NA,-0.00954270042433881,NA,1.32755381849476,NA,NA,"+",NA,NA,NA,6,-179.43891605302,371.106092975605,3.02109591940314,0.00620540412956952
7.60921081739244,-0.0384029782774364,NA,NA,-0.00966607603332533,NA,1.30643347910877,NA,3.70067205939472e-05,"+",NA,NA,NA,6,-179.444375086286,371.117011042137,3.03201398593501,0.00617162091773412
6.93501193939619,-0.0367894701977534,NA,NA,-0.01112191574711,"+",2.60615016166597,0.0498703443782474,NA,"+",NA,NA,NA,8,-177.39442073248,371.18228408791,3.09728703170811,0.00597345203163048
6.85829640510665,-0.0366727600098512,NA,NA,-0.0100912404430279,"+",2.66603476015536,NA,NA,"+",-4.39242265520552e-06,NA,NA,8,-177.395473191087,371.184389005125,3.09939194892286,0.00596716852776791
7.64966125496391,-0.0382168017798568,NA,NA,-0.00642053454972685,NA,1.29078273147477,NA,NA,"+",-1.3592096359663e-05,NA,NA,6,-179.482228188853,371.192717247271,3.10772019106878,0.00594237217888549
23.2034895994671,-0.0967069221801297,NA,NA,NA,"+",-38.9682049003529,NA,NA,"+",NA,0.155124890677928,NA,7,-178.461053698237,371.22728450819,3.14228745198835,0.00584054888690796
47.6535030149515,-0.0504150246836632,NA,0.0491806578956124,-0.0104124876842734,"+",2.40595909858689,NA,-0.0137815235390145,NA,NA,NA,NA,8,-177.427416928051,371.248276479053,3.16327942285142,0.00577956716236523
16.0928614416445,-0.0712277856897091,NA,NA,-0.00657630148064912,NA,-19.2084553925907,NA,0.000112560331560252,"+",NA,0.0782188286540281,NA,7,-178.529549517737,371.364276147191,3.2792790909885,0.00545388915394512
28.2851766046006,-0.0707124404261949,NA,NA,-0.00851031199560972,"+",-15.4245925431346,NA,-0.00411783087064635,"+",NA,0.0693288115728571,NA,9,-176.436078590565,371.365307866061,3.28031080985926,0.0054510764393106
