"(Intercept)","DOY","I(DOY^2)","glacier_len_norm","ice_cover_percent","noise_4kHz","runoff_racmo","site","temp_surf","I(temp_surf^2)","velocity","year","df","logLik","AICc","delta","weight"
-40.5554957937564,0.368160973105291,-0.000763305311637248,NA,-0.387985492503291,-0.0370139392605861,NA,"+",0.773772891122454,-2.59315222135016,NA,NA,9,-176.038039870129,370.469952825597,6.32481983958434,0.00278284901988114
-16.4156495758861,0.379812221319272,-0.000803145004530765,1.53183180359081,-0.276566836150964,NA,-0.00416498425651487,"+",0.934787162010045,NA,-0.00934527829367088,NA,10,-175.003659595569,370.489775331489,6.34464234547642,0.00275540373259558
-29.946280156822,0.508575178174973,-0.001043714150985,1.25175314035564,-0.325192241714987,-0.0438545261517194,NA,"+",0.545489995019939,NA,-0.00918824456208905,NA,10,-175.046592203385,370.575640547121,6.43050756110785,0.00263961050280993
-51.8220041653285,0.452795681721859,-0.000915148128978356,NA,-0.391675813108085,-0.0435276387032296,NA,"+",1.0907962960066,NA,NA,NA,8,-177.153764256366,370.621938993081,6.47680600706786,0.00257920741043654
-42.6902940476243,0.356762764224949,-0.000738236035149486,0.754840912735288,-0.362626769906421,NA,NA,"+",0.750616114060283,-3.08658026099627,NA,NA,9,-176.129518860034,370.652910805407,6.50777781939422,0.00253957372035983
-20.1472175095046,0.389070795456439,-0.000820723215627372,1.50472271660347,-0.293838349809385,NA,-0.000572650630894887,"+",NA,-2.06313320113087,-0.0085051568747743,NA,10,-175.104173647854,370.690803436059,6.54567045004563,0.00249191109715603
-18.6102873180039,0.39421479603472,-0.000831064914840834,1.53981780739074,-0.304217908178777,NA,NA,"+",NA,-2.30811396452135,-0.00920392641478575,"+",10,-175.106574477523,370.695605095397,6.55047210938397,0.0024859356189839
-40.6979682725138,0.33775061617825,-0.000699566157438179,NA,-0.338416243322596,NA,-0.00357915792514605,"+",1.39544939362422,NA,NA,NA,8,-177.200001783935,370.71441404822,6.56928106220721,0.00246266628554591
-37.7576797328627,0.502561766514261,-0.00102997002523079,1.08578724359236,-0.294221900386041,-0.0432380703768828,NA,"+",NA,NA,-0.00650082810442265,"+",10,-175.185831737846,370.854119616042,6.7089866300293,0.00229651288389429
-18.0184111054392,0.370168777445211,-0.000785498485840455,NA,-0.318914393474322,-0.0483241475561264,-0.0036809636781473,"+",0.945991042486784,NA,-0.00691003604051927,NA,10,-175.18835375644,370.85916365323,6.71403066721729,0.00229072833313814
-36.6742489691745,0.310840957228102,-0.000653910449898232,NA,-0.346546942642506,NA,-0.00171141281246044,"+",0.897483404824195,-2.50617526939418,NA,NA,9,-176.241501618962,370.876876323264,6.73174333725069,0.00227053044722745
-29.8112857998973,0.418765211280994,-0.000870770605948225,NA,-0.335093592626913,-0.0407606840570825,NA,"+",0.485176638237357,-1.48721009907322,-0.00550397727047109,NA,10,-175.244676585544,370.971809311439,6.82667632542569,0.00216527416231381
-47.5415341969478,0.42886391297163,-0.000880399990088432,NA,-0.303156358592077,-0.0518440058802116,-0.00263686101803078,"+",0.779920534568873,NA,NA,"+",10,-175.274345414588,371.031146969527,6.88601398351415,0.00210197663808409
-61.0902227187276,0.526999638642403,-0.00106027049777639,0.707164986141792,-0.30461906031409,-0.0492094428943109,NA,"+",0.498849332456812,NA,NA,"+",10,-175.276315756732,371.035087653815,6.88995466780165,0.00209783910244789
-15.8096126427017,0.443178467036654,-0.000929460800798566,1.29232334706986,-0.304536836231034,-0.0395969145239254,-0.00120137015652157,"+",NA,NA,-0.0109786307300068,NA,10,-175.322930043667,371.128316227685,6.98318324167161,0.00200229401185214
-46.0946553876106,0.493270932287505,-0.00100447285409597,NA,-0.305149758816732,-0.0478309639687961,NA,"+",0.451166982584455,NA,-0.00340304023552793,"+",10,-175.325448179317,371.133352498984,6.98821951297117,0.00199725830687462
-62.9915202694798,0.52938079978887,-0.00106457452091126,0.26863879681399,-0.267946889692898,-0.0377550873184836,NA,NA,NA,0.755461120987429,-3.77490058798689e-05,"+",9,-176.39899381936,371.19186072406,7.04672773804708,0.00193967664430496
-61.7001164141819,0.520837103797175,-0.00104951476818428,0.387991973691607,-0.266258209109852,-0.0395694367528763,-0.000551104206578735,NA,NA,0.871648015684303,NA,"+",9,-176.41276704058,371.219407166499,7.07427418048621,0.00191314418692719
-40.8610034000157,0.499535164629808,-0.00101704401084861,1.20470395876877,-0.274096896980087,NA,NA,"+",0.427892948180056,NA,-0.00685716098101231,"+",10,-175.369539235762,371.221534611875,7.07640162586239,0.00191111021403332
-53.2463709530152,0.466566950322622,-0.000948370474260561,NA,-0.316393656065167,-0.046330631180121,NA,"+",0.475410612933428,-0.860996969736864,NA,"+",10,-175.378502656246,371.239461452842,7.09432846682893,0.00189405667280289
-63.6200547974257,0.534629701996347,-0.00107454602395351,0.404860623045492,-0.268809021274011,-0.0391970093579004,NA,NA,-0.0322568114036602,0.790790944034279,NA,"+",9,-176.423784690027,371.241442465393,7.09630947937961,0.00189218152660797
-60.8030106335666,0.51394389596892,-0.00103653211566297,NA,-0.265174213786393,-0.038459689674779,-0.000319238429069264,NA,NA,0.809905073093574,-5.77148290985907e-05,"+",9,-176.426415357687,371.246703800714,7.10157081470049,0.00188721036745892
-62.3044544045309,0.524927354601956,-0.00105630024653092,NA,-0.267142293194948,-0.0383241506416801,NA,NA,0.0327358336396451,0.80552972536346,-6.60539388896093e-05,"+",9,-176.428822287171,371.251517659682,7.10638467366852,0.0018826734473966
-72.2330288416911,0.567730183329874,-0.0011370350047679,NA,NA,NA,NA,NA,NA,1.69088797093182,NA,"+",5,-180.59150626871,371.313164381237,7.16803139522409,0.00182552835075998
-34.795465326777,0.42759864937576,-0.000886957515761649,NA,-0.305597756648776,-0.0402366817106252,NA,"+",NA,-1.13925498850022,-0.00434792689383703,"+",10,-175.421884916097,371.326225972544,7.18109298653138,0.00181364504410147
-53.1514827828627,0.46410464689705,-0.000946203839969264,0.758168612483635,-0.302987943106585,-0.041597635702536,NA,"+",NA,-1.12679921680387,NA,"+",10,-175.423892773322,371.330241686996,7.18510870098254,0.00181000715719597
-58.8424925312331,0.495702782412262,-0.00100229243401559,0.286769621621226,-0.274014555797453,-0.0326843203171762,NA,NA,-0.0424030775337372,NA,-4.26467321530996e-05,"+",9,-176.474246958713,371.342367002765,7.19723401675219,0.00179906690006072
-58.8418695889809,0.495709284312862,-0.00100211640702198,0.284003933288801,-0.274694871092088,-0.0326066517476049,-3.49746327263407e-05,NA,NA,NA,-4.78715589906073e-05,"+",9,-176.476774693447,371.347422472233,7.20228948622031,0.00179452507884647
-23.5798822722599,0.341902345349433,-0.000724900251611328,NA,-0.290439440369668,NA,-0.00235239575248968,"+",0.674532158025358,-1.33990508917823,-0.00553598364978907,NA,10,-175.449050794055,371.38055772846,7.23542474244726,0.001765038986464
-54.2533816546162,0.436080432422969,-0.000878485578237273,0.0446927345176319,-0.348222952198945,NA,NA,"+",1.02981946508192,NA,NA,NA,8,-177.54022621188,371.394862904109,7.24972991809614,0.0017524594319144
-59.4085409139217,0.500363737881117,-0.00101127472599448,0.430937627788973,-0.27487730448588,-0.0340255527521937,5.69059385038399e-05,NA,-0.108445476419293,NA,NA,"+",9,-176.502142174912,371.398157435163,7.25302444915002,0.00174957504223491
-59.6567326492983,0.508099176565586,-0.00102675973993776,NA,-0.264044812823062,-0.0430263104654881,-0.000842847363251638,NA,-0.00740754467529017,1.02610895136636,NA,"+",9,-176.50922678433,371.412326654,7.26719366798653,0.00173722378997261
-58.2091310359302,0.491444974021453,-0.000994463120310729,NA,-0.27326636843017,-0.0329713591789752,0.000117794455635431,NA,-0.0465641009197424,NA,-7.03448549570643e-05,"+",9,-176.510022951192,371.413918987723,7.26878600171005,0.00173584122041064
-22.2276372627036,0.385439307150605,-0.000813402021736065,NA,-0.320041014962273,-0.0362767151031462,-0.000218524661078005,"+",NA,-1.64412764408536,-0.00660934416753298,NA,10,-175.49688176281,371.47621966597,7.33108667995697,0.00168260268189835
