"(Intercept)","glacier_len_norm","ice_cover_percent","noise_4kHz","runoff_racmo","salt_shallow","I(salt_shallow^2)","site","temp_deep","I(temp_deep^2)","temp_shallow","I(temp_shallow^2)","year","ice_cover_percent:salt_shallow","ice_cover_percent:temp_deep","ice_cover_percent:temp_shallow","df","logLik","AICc","delta","weight"
13051.945782925,0.762786163912142,1.3760800258772,0.028410503343337,0.00283514913429175,-776.721713770212,11.5531266256367,NA,-0.73895022395456,NA,NA,-1.54316321576851,NA,NA,-2.85714666868162,NA,10,-170.747196599039,362.285760104553,19.8654523837727,6.37251381391618e-07
13.7256012629986,NA,NA,NA,0.00313495747242523,-0.412298610053999,NA,"+",-1.39618350131901,NA,NA,NA,NA,NA,NA,NA,6,-174.994627351974,362.287127044373,19.8668193235927,6.36815988053402e-07
6.76041217752242,NA,NA,NA,0.0031350012292611,NA,-0.00610078547312743,"+",-1.39663962389987,NA,NA,NA,NA,NA,NA,NA,6,-174.994729748427,362.28733183728,19.8670241164991,6.3675078369327e-07
6.7508618992876,NA,NA,0.0571563825636745,0.00406198458634151,-0.37124251910295,NA,NA,NA,-2.35735947064632,NA,-0.432280322399326,NA,NA,NA,NA,6,-174.996111215268,362.290094770961,19.8697870501804,6.35871740923856e-07
0.506536678817988,NA,NA,0.0571566883363597,0.00406205140273094,NA,-0.00551776743922643,NA,NA,-2.35758181448213,NA,-0.43214627780323,NA,NA,NA,NA,6,-174.996155972382,362.290184285191,19.8698765644102,6.35843281776188e-07
46601.7034591517,0.318926735612237,-227.233764196559,0.00521118602790323,-0.00155195110624713,-2779.01638270704,41.4297022037938,"+",0.0840468390216026,NA,1.2162813472802,NA,NA,6.75093165422606,NA,-1.40641713165375,13,-167.487143832478,362.297924028593,19.8776163078127,6.3338740488277e-07
28801.6923568234,NA,-156.82960383516,0.00147814273053835,-0.00360743233271049,-1714.94105207992,25.5263532895346,"+",NA,2.32570653514878,0.0892859002817593,0.682464976780744,"+",4.65648135694593,NA,-1.2195255606178,14,-166.382880310191,362.298607335711,19.8782996149305,6.33171042784253e-07
6796.40094276718,1.19730152257834,NA,NA,NA,-401.650969612496,5.93093323842746,NA,15.4273808766068,-18.0549219887993,1.9563379474317,NA,NA,NA,NA,NA,7,-173.951904879704,362.302386271863,19.8820785510825,6.3197581583943e-07
134.08002701463,0.556040069808296,-162.163592290583,0.00103846201200326,-0.00364742317827289,-4.04899314125023,NA,"+",NA,2.12644915969532,0.171911043559646,0.286192342853165,"+",4.81541266494705,NA,-1.1890966561037,14,-166.385887281233,362.304621277795,19.8843135570144,6.31269975453645e-07
12284.2251600128,NA,-155.27073014438,0.0129269303398655,0.00239042056385751,-732.192299478691,10.9092466998641,NA,NA,-1.82413208875496,0.43333210939767,NA,NA,4.60851185560653,NA,-1.42277168209383,10,-170.758429199268,362.308225305011,19.8879175842308,6.30133442698744e-07
-5.77384131391661,-0.405130424070603,NA,0.0533210981411964,0.00281614196750928,NA,NA,"+",NA,-1.30484219753678,NA,NA,NA,NA,NA,NA,7,-173.955297516435,362.309171545325,19.888863824545,6.29835384379585e-07
2.81448472911836,0.185775432313755,NA,0.0561517231657849,0.00390956701126393,-0.250547741663966,NA,NA,NA,-2.44268078375302,NA,NA,NA,NA,NA,NA,6,-175.007911947251,362.313696234927,19.8933885141465,6.28412090170606e-07
-1.41002163079637,0.185701409841599,NA,0.0561528541249311,0.00390971586837283,NA,-0.00371481080623862,NA,NA,-2.44290948956028,NA,NA,NA,NA,NA,NA,6,-175.007947487216,362.313767314857,19.8934595940766,6.28389756823738e-07
47361.1670149806,NA,NA,NA,0.00444788893736028,-2823.80963759302,42.087609407875,NA,15.8085299549625,-18.5197708059517,1.18922666005243,0.861308172884355,NA,NA,NA,NA,8,-172.901495741952,362.31727719819,19.8969694774092,6.2728793655475e-07
64204.3225951061,NA,1.70699687803738,NA,0.000645220351844754,-3829.21000095003,57.0923840529662,"+",7.59109779064143,-7.31061767361677,0.797342233337443,-0.6075918176942,NA,NA,-2.80017792230278,1.80299800425875,13,-167.498184140588,362.320004644812,19.8996969240312,6.2643307240454e-07
68.9842327802467,0.819755153843761,1.31643671681496,0.0260316715098202,0.00261327416973025,-2.13073604121991,NA,NA,-0.844416110970899,NA,0.0954785418441582,-1.54365434140511,NA,NA,-2.76024107889626,NA,10,-170.766257056437,362.32388101935,19.9035732985692,6.2522010365872e-07
33.259261941081,0.819817875896093,1.31629187241471,0.026026792289426,0.0026129378423438,NA,-0.0317700788134557,NA,-0.844723555598485,NA,0.0956239843433139,-1.54365361763098,NA,NA,-2.76000153168608,NA,10,-170.766384722329,362.324136351133,19.9038286303525,6.25140289471607e-07
58237.9488481495,NA,NA,0.078131862664578,NA,-3474.36736640601,51.8111007572599,"+",NA,NA,NA,-0.593956631857087,NA,NA,NA,NA,7,-173.963557503896,362.325691520248,19.9053837994678,6.24654378978861e-07
64818.8777826178,NA,1.76316032329116,0.00745333293565868,NA,-3866.12126550856,57.6460954795135,"+",6.84654671172275,-6.48826012548628,0.839245842350828,-0.513238175361131,NA,NA,-2.87723197619883,1.83573957988657,13,-167.501594801413,362.326825966462,19.9065182456821,6.24300161050922e-07
33.3830317890306,NA,-160.379929370005,0.012871607642072,0.00252662569905168,-1.03495191170711,NA,NA,NA,-1.71874693450395,0.376515965953613,-0.333445056078519,NA,4.76072686958816,NA,-1.39727307775599,10,-170.769985915717,362.331338737909,19.9110310171283,6.22893087128344e-07
52829.2461294258,0.137979114298158,NA,NA,0.00668292436347597,-3149.18104140994,46.9279089385453,NA,13.3820337928071,-15.1724478545625,NA,NA,NA,NA,NA,NA,7,-173.96817981084,362.334936134136,19.9146284133556,6.21773697531282e-07
112.632325408639,0.578847172795725,-256.662481690609,0.0100541987413989,-0.000404153491283261,-3.39934225164239,NA,"+",0.384721091953262,NA,0.983479690310218,-1.67870208662751,NA,7.62699163810735,NA,-1.42943352919947,13,-167.507859398075,362.339355159785,19.919047439005,6.20401397188426e-07
44786.4157915451,NA,NA,NA,NA,-2672.9147403802,39.8807399990644,"+",NA,-2.36252048395187,1.5294240053319,1.33800624623479,NA,NA,NA,NA,8,-172.912811026022,362.33990776633,19.9196000455501,6.20230001931709e-07
14753.1106094711,0.291226949777451,-87.4461150757735,0.0230949170631146,0.00113244094445999,-877.304649997095,13.039740245499,NA,NA,NA,0.0244010901952899,NA,NA,2.59443141413873,NA,NA,9,-171.850374346162,362.345909982647,19.9256022618666,6.1837141491821e-07
86981.2216898937,0.346989750148834,0.64665411826329,0.0130883367405177,0.00204424682888159,-5189.56513288016,77.4031135315243,"+",6.86468331749161,-6.46637015092086,NA,NA,NA,NA,-1.63586909068229,NA,12,-168.610050641854,362.350536066316,19.9302283455355,6.16942748885399e-07
38850.8216596288,NA,-213.985064617167,0.00171443992295825,0.00437608740213177,-2313.8655533939,34.4483558077942,NA,15.6683479222705,-16.465804050979,0.635350847424183,-0.813413675435339,NA,6.35766606740247,NA,-1.40075821373172,12,-168.611228566806,362.352891916221,19.9325841954402,6.16216464465566e-07
5015.35811180042,0.846518317814028,-0.301444872664155,0.0190002540562267,0.00256640657522649,-297.906007512901,4.42224014068641,NA,NA,-1.97059807523484,0.470651300305822,-0.794659761017012,NA,NA,NA,NA,10,-170.781922678325,362.355212263126,19.9349045423453,6.15501961036569e-07
46.6462582849319,0.866046987951677,-0.313325018885927,0.0184342578289573,0.00253901904850987,-1.43892439378799,NA,NA,NA,-1.97384492822311,0.485371753885363,-0.837952970797883,NA,NA,NA,-0.0549009587922386,10,-170.785006642391,362.361380191257,19.9410724704766,6.13606699068432e-07
22.5257584172339,0.866113226127968,-0.313311993383317,0.0184313871680345,0.00253885158122015,NA,-0.0214596469382885,NA,NA,-1.97393033189821,0.48543466148759,-0.838073423048095,NA,NA,NA,-0.0548169825962309,10,-170.785044746699,362.361456399873,19.9411486790924,6.13583318455283e-07
26290.581566751,NA,NA,0.0546817546359157,NA,-1566.53904212739,23.328395962976,NA,12.3743413844341,-14.1427619268363,1.21041093128812,NA,NA,NA,NA,NA,7,-173.981567953529,362.361712419513,19.9414046987326,6.13504778792093e-07
4.57614479804243,NA,NA,0.0690438827094232,NA,NA,-0.00967723109861601,NA,-2.05738750071174,NA,0.573126828676099,NA,NA,NA,NA,NA,5,-176.074914265266,362.361842664807,19.9415349440268,6.13464827037785e-07
15.4495275435177,NA,NA,0.0690465957382668,NA,-0.648774849432724,NA,NA,-2.05736134724341,NA,0.57310588710023,NA,NA,NA,NA,NA,5,-176.074921577508,362.361857289291,19.9415495685108,6.13460341250935e-07
-20.5365862336248,NA,NA,0.0456589388344174,NA,NA,0.014486613384915,NA,NA,-3.18474333351387,1.09646177127469,1.60253348927155,NA,NA,NA,NA,6,-175.037470784831,362.372813910088,19.9525061893079,6.10108803847619e-07
-36.7848001781572,NA,NA,0.0456576791959401,NA,0.970327062884005,NA,NA,NA,-3.18450900452949,1.09641065030255,1.60219784632731,NA,NA,NA,NA,6,-175.037541845058,362.372956030542,19.952648309762,6.1006545091785e-07
8471.84133442634,NA,-160.329528729626,NA,0.00256587117946342,-504.476591507675,7.51000179637847,NA,NA,-1.8370139373665,0.438033352646578,-0.101241231153139,NA,4.75873011041589,NA,-1.4476541321843,10,-170.793041436869,362.377449780213,19.9571420594328,6.08696248996913e-07
45663.6544879645,1.39774923428759,-250.688222451109,0.00113922748005135,NA,-2720.55444627232,40.5187651019927,"+",12.0220380040328,-11.9849404035533,1.48328539555332,-1.16367357631173,NA,7.44996499215565,NA,-1.32083943240144,14,-166.422848102104,362.378542919536,19.9582351987556,6.08363644998113e-07
93.6570386983198,0.606417006326145,-248.264343178832,0.00803438495583295,-0.000399869430427167,-2.82121386441199,NA,"+",NA,-0.0852649979193063,1.09222798259938,-1.38287194350647,NA,7.37722323573965,NA,-1.42661235804447,13,-167.530235747351,362.384107858338,19.9638001375574,6.06673244605597e-07
19584.2215192764,-0.0721429204334972,NA,NA,-0.00488880749462605,-1165.61877826175,17.3417392402696,"+",NA,1.84781600011601,-0.053488571121723,2.73981192770264,"+",NA,NA,NA,11,-169.718190776301,362.389450144661,19.9691424238802,6.05054895899852e-07
68635.8871340955,NA,1.66550447887007,0.00350370320003139,0.000102071615668862,-4094.25653460346,61.055160029545,"+",7.34379770355364,-7.28196641096327,0.931829483482907,NA,NA,NA,-2.73499502980791,1.72703081576909,13,-167.533182028067,362.39000041977,19.9696926989898,6.048884454747e-07
8875.21516553201,NA,-0.339918966938161,0.0225041225066939,NA,-528.928438927146,7.8786486291705,NA,-1.28373559412574,NA,0.464792415354454,0.274070327046667,NA,NA,NA,-0.143285823691045,9,-171.875433586406,362.396028463136,19.9757207423551,6.03068043328305e-07
